CNT,SCHOOLID,StIDStd,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST24Q09,ST24Q10,ST24Q11,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST27Q05,ST27Q06,ST27Q07,ST27Q08,ST27Q09,ST27Q10,ST27Q11,ST27Q12,ST27Q13,CSTRAT,ELAB,MEMOR,Reading,ESCS,gender,immig2
USA,4,107,1,1,1,2,1,2,1,2,1,1,1,3,3,3,2,3,2,3,3,3,2,3,2,3,-0.0411,0.0385,0.6832,522.02,-0.7867,0,0
USA,4,111,2,3,2,2,3,2,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,568.28,-0.1575,0,0
USA,4,108,2,3,4,1,3,1,4,2,1,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,2.504,0.8778,2.6934,619.42,2.166,0,0
USA,4,103,2,2,2,2,3,2,2,1,2,2,2,3,3,2,3,4,3,4,2,3,4,4,4,2,0.2159,1.1676,0.9843,412.67,0.5319,0,0
USA,4,106,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,3,3,3,-0.0411,0.3277,0.1036,573.17,1.0512,0,0
USA,4,115,2,1,1,1,1,2,2,2,2,2,1,2,3,3,2,1,4,2,2,3,2,4,3,2,0.4861,0.0385,-0.5436,556.33,-0.3588,0,0
USA,4,118,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,-1.6827,-0.6208,-1.3817,473.28,0.4972,0,1
USA,4,122,1,3,3,2,3,2,3,2,2,3,2,2,2,3,3,1,1,1,3,3,3,2,2,2,-1.0786,0.6034,-0.9276,616.3,0.044,0,0
USA,4,112,2,1,1,2,1,2,4,2,2,2,2,3,4,3,2,2,1,2,1,3,2,4,3,1,-0.2945,-0.2743,0.1036,557.61,0.4822,0,0
USA,5,144,2,2,2,2,2,1,3,2,2,3,3,1,4,2,2,1,2,1,1,3,1,4,1,2,0.2159,-1.5227,-1.9702,539.62,-0.3643,1,0
USA,5,150,2,3,3,2,3,1,4,2,2,4,4,3,4,4,2,2,4,3,2,4,3,4,3,4,2.504,0.3277,0.6832,586.25,1.1403,1,0
USA,5,138,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,3,2,3,3,4,4,3,4,3,0.2159,1.9347,0.9843,557.41,1.0512,1,0
USA,5,142,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,303.2,-0.4871,1,0
USA,5,134,2,2,2,2,2,2,1,2,2,3,2,4,3,4,2,2,4,3,1,2,1,3,1,2,-0.0411,-1.5227,0.9843,723.2,0.9548,1,0
USA,5,153,1,4,4,1,4,1,4,1,1,4,4,3,3,3,3,2,3,2,2,2,2,4,2,2,-0.0411,0.0385,0.1036,595.62,-0.1075,1,0
USA,5,154,2,2,2,2,2,2,3,2,2,3,3,4,4,3,2,2,2,3,2,3,2,4,3,3,0.4861,0.0385,0.6832,492.51,-0.2149,1,0
USA,5,127,2,2,3,2,2,2,3,2,2,2,2,3,3,2,2,2,3,3,2,1,2,3,2,2,-0.5485,-0.2743,0.1036,606.9,1.054,1,0
USA,5,136,1,3,3,2,3,1,3,2,1,3,3,3,4,2,1,1,3,2,1,4,2,4,1,3,1.1341,-1.5227,-0.5436,633.28,0.1072,1,0
USA,5,131,2,2,3,2,3,1,4,1,2,3,4,2,4,3,3,1,3,1,2,3,2,2,3,2,-0.0411,0.3277,-0.9276,592.37,0.5331,1,0
USA,5,157,1,3,3,2,3,1,3,2,1,2,3,1,4,2,3,1,4,1,3,3,3,4,2,3,1.1341,0.6034,-1.9702,664.66,1.0076,1,0
USA,5,143,1,3,3,2,3,1,4,2,2,3,3,2,2,2,2,2,1,4,1,2,1,2,1,2,-1.3664,-1.5227,0.1036,515.07,0.0336,1,0
USA,5,137,2,1,3,2,2,2,3,2,2,2,2,2,4,3,2,2,3,3,1,4,3,4,3,3,1.1341,0.0385,0.1036,602.61,0.1811,1,0
USA,5,146,2,2,2,2,1,2,2,2,2,2,3,2,,1,2,1,2,2,1,2,1,3,1,3,-0.3772,-1.5227,-1.3817,543.35,0.6852,1,0
USA,5,148,2,2,2,2,2,2,2,2,1,2,2,3,2,2,1,1,1,2,1,2,2,3,2,2,-1.0786,-1.0185,-0.5436,439.28,-0.0984,1,0
USA,5,124,1,3,3,2,3,1,3,2,2,3,3,2,3,2,3,1,3,2,2,3,3,3,3,4,0.4861,0.6034,-0.9276,549.07,1.4499,1,0
USA,5,133,2,3,3,1,3,1,3,2,2,3,1,1,2,4,3,2,3,3,3,3,2,2,3,2,-0.5485,0.6034,0.1036,462.88,0.1864,1,0
USA,5,126,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,2,4,4,3,3,3,4,3,4,1.6056,0.8778,1.3297,422.21,0.8861,0,0
USA,5,151,2,1,2,2,3,2,3,2,1,2,1,2,2,3,3,3,3,3,1,3,2,3,3,3,-0.0411,0.0385,0.395,473.28,0.0336,0,0
USA,5,147,2,3,2,1,3,2,3,1,1,1,1,3,2,2,3,1,4,2,1,2,1,3,1,4,0.2159,-1.0185,-0.5436,638.74,0.0414,0,0
USA,5,130,2,2,2,2,2,2,2,2,2,3,2,4,4,4,3,1,4,3,2,4,2,4,2,4,2.504,0.0385,0.6832,566.75,0.8209,0,0
USA,5,125,2,2,3,2,3,2,3,2,1,3,2,2,3,4,2,1,2,3,2,2,3,4,2,3,-0.0411,0.0385,0.1036,504.86,0.342,0,0
USA,5,128,2,2,2,2,3,2,2,2,2,1,2,2,3,4,3,2,2,2,2,2,2,3,3,3,-0.2945,0.3277,0.1036,582.22,1.1931,0,0
