CNT,SCHOOLID,StIDStd,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST24Q09,ST24Q10,ST24Q11,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST27Q05,ST27Q06,ST27Q07,ST27Q08,ST27Q09,ST27Q10,ST27Q11,ST27Q12,ST27Q13,CSTRAT,ELAB,MEMOR,Reading,ESCS,gender,immig2
USA,34,1110,2,2,3,2,2,2,2,2,2,3,3,2,3,3,2,1,2,2,2,2,3,3,3,3,-0.2945,0.3277,-0.5436,622.95,0.1887,1,0
USA,34,1093,1,3,4,2,4,1,4,1,2,4,4,2,2,2,3,2,3,2,2,3,3,3,2,4,0.2159,0.3277,-0.5436,602.06,0.5569,1,0
USA,34,1104,2,2,3,2,3,2,3,2,2,3,3,2,3,3,3,2,3,2,2,3,3,3,3,2,-0.0411,0.6034,-0.2055,496,0.3511,1,0
USA,34,1106,1,4,2,1,2,2,4,2,1,2,3,2,2,3,1,1,3,3,4,1,2,3,4,2,-0.8077,0.6034,-0.2055,489.01,1.4546,1,0
USA,34,1087,2,2,3,2,3,2,3,2,2,3,4,2,3,3,2,2,2,3,1,2,3,3,3,4,-0.0411,0.0385,0.1036,467.33,0.4231,1,0
USA,34,1101,2,1,2,2,3,2,2,2,2,2,2,2,3,3,3,2,4,2,2,3,3,3,2,2,0.2159,0.3277,-0.2055,562.5,0.6401,1,0
USA,34,1100,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,1,3,2,1,4,3,4,2,2,0.7826,-0.2743,-0.9276,513,0.2911,1,0
USA,34,1095,2,2,2,2,3,2,3,2,2,2,2,2,3,,3,3,3,2,2,3,2,3,1,3,0.2159,-0.2743,0.0682,521.27,-0.7339,1,1
USA,34,1094,2,2,3,2,2,2,3,2,2,3,2,2,3,3,3,2,3,2,1,3,3,4,2,4,0.7826,0.0385,-0.2055,577.43,0.2698,1,0
USA,34,1097,1,3,3,1,3,1,3,2,2,4,4,4,4,4,4,3,4,4,2,4,2,4,1,4,2.504,0.0385,1.7893,702.23,1.2374,1,0
USA,34,1080,2,3,3,2,3,1,3,2,2,3,2,2,3,2,1,2,4,3,1,3,4,4,2,3,0.7826,-0.2743,-0.2055,475.83,0.353,1,0
USA,34,1098,2,2,2,2,2,1,4,2,2,2,3,2,3,2,2,2,2,4,1,3,1,4,1,2,-0.0411,-1.5227,0.1036,625.02,1.3149,1,0
USA,34,1086,2,3,3,1,3,1,3,2,2,3,3,2,3,2,3,2,2,2,1,2,3,3,2,3,-0.2945,0.0385,-0.5436,563.77,0.1072,1,0
USA,34,1084,1,4,4,1,4,1,4,1,1,4,4,3,4,4,4,3,4,4,3,4,3,4,3,4,2.504,1.1676,1.3297,640.59,-0.3905,1,1
USA,34,1103,2,3,3,1,4,1,4,2,2,3,3,2,3,2,2,1,2,1,2,3,2,3,2,2,-0.2945,-0.2743,-1.3817,398.21,0.9453,1,0
USA,34,1079,2,2,2,1,2,2,2,2,2,2,2,2,3,2,4,2,3,2,2,3,2,4,2,3,0.4861,0.3277,-0.5436,492.35,-0.5709,1,0
USA,34,1089,1,1,1,1,1,2,3,2,1,3,1,4,4,4,4,2,4,3,1,3,2,4,1,4,1.6056,-0.2743,0.9843,495.85,1.1832,1,0
USA,34,1108,1,2,1,2,1,2,2,2,2,1,2,2,3,2,1,1,4,3,1,3,1,3,1,3,0.4861,-2.4098,-0.5436,606.27,0.8069,0,0
USA,34,1083,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,3,2,1,2,1,3,1,3,-0.2945,-1.5227,-0.2055,465.5,-0.9343,0,1
USA,34,1082,2,1,2,2,2,1,3,2,2,2,3,3,3,4,3,2,4,4,2,4,2,3,2,3,0.7826,0.0385,0.9843,577.17,1.6617,0,0
USA,34,1088,1,3,3,1,3,1,4,1,1,3,2,2,4,2,2,2,3,2,1,2,1,4,1,3,0.4861,-1.5227,-0.5436,595.61,0.3896,0,0
USA,34,1096,2,1,1,2,1,1,1,2,1,1,1,3,3,3,3,2,2,3,2,2,2,2,1,2,-0.8077,-0.2743,0.395,459.57,-0.4982,0,0
USA,34,1085,1,3,3,1,3,1,3,2,1,3,3,2,2,3,3,2,3,2,3,2,3,4,3,3,-0.0411,0.8778,-0.2055,619.42,0.4437,0,0
USA,34,1091,1,3,3,1,3,1,3,1,1,3,3,2,4,3,3,2,2,3,3,1,1,4,4,4,0.2159,0.6034,0.1036,638.66,0.9748,0,0
USA,34,1081,2,1,2,2,2,2,3,2,2,2,2,4,3,3,3,3,3,3,2,3,2,4,2,3,0.4861,0.0385,0.9843,542.38,0.9453,0,0
USA,34,1090,2,1,2,2,1,2,2,2,2,3,1,1,3,1,1,1,2,1,1,1,2,1,1,1,-1.6827,-1.5227,-3.0191,459.41,-0.6109,0,0
USA,34,1111,2,3,2,1,3,1,2,2,1,2,1,2,3,3,2,1,3,3,3,2,3,4,3,3,0.2159,0.6034,-0.2055,572.6,0.922,0,0
USA,34,1112,2,3,3,2,2,2,3,2,2,3,1,1,4,1,1,1,2,1,1,1,1,3,1,3,-0.2945,-2.4098,-3.0191,581.34,0.4737,0,
USA,34,1107,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,515.37,0.4796,0,0
USA,34,1102,2,2,3,2,2,2,3,1,2,3,3,1,4,2,4,1,4,3,3,3,3,3,4,4,1.1341,1.4986,-0.9276,495.88,0.4159,0,
USA,34,1099,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,2,3,3,2,1,-1.3664,-0.2743,-1.3817,501.66,-0.6823,0,0
USA,34,1105,1,1,1,1,3,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-3.0191,444.9,-1.1932,0,0
USA,34,1092,2,3,3,1,3,2,3,2,2,3,2,2,4,3,4,3,3,4,3,4,4,3,4,4,1.1341,1.9347,0.6832,542.78,0.7637,0,0
USA,34,1109,2,2,2,1,3,2,3,2,1,3,1,1,3,3,4,1,4,1,4,4,3,4,3,4,1.6056,1.4986,-1.3817,603.39,0.8333,0,0
USA,35,1122,1,4,4,1,4,1,3,2,2,4,4,2,4,4,2,1,4,3,1,4,1,4,2,3,1.6056,-1.0185,0.1036,666.48,1.5528,1,0
USA,35,1115,1,4,3,2,4,1,4,2,1,3,4,1,4,2,2,1,2,1,1,1,2,3,1,3,-0.2945,-1.0185,-1.9702,623.03,1.2885,1,0
USA,35,1124,1,3,3,2,3,1,4,1,1,3,2,1,2,1,2,1,2,1,2,2,2,4,2,3,-0.2945,-0.2743,-3.0191,661.48,1.4996,1,0
USA,35,1128,2,3,4,2,1,2,3,2,1,3,2,1,4,1,2,1,3,1,1,3,2,4,1,4,1.1341,-1.0185,-3.0191,644.48,1.3225,1,1
USA,35,1119,2,2,2,2,3,1,3,2,2,3,3,3,3,3,3,3,3,2,2,3,2,3,2,4,0.4861,0.0385,0.395,608.25,1.2885,1,0
USA,35,1125,1,3,3,2,3,1,3,2,1,3,2,3,3,2,3,2,,2,1,3,4,4,2,3,0.5849,0.3277,-0.2055,440.71,0.4546,1,0
USA,35,1121,1,4,3,1,4,1,4,1,1,3,3,2,3,4,2,2,2,3,1,3,1,4,1,2,-0.0411,-1.5227,0.395,630.1,-0.0957,1,0
USA,35,1120,2,2,2,2,3,1,4,2,2,2,2,2,4,4,3,1,2,2,1,4,3,4,2,3,0.7826,0.0385,-0.2055,624.62,0.2596,1,1
USA,35,1123,1,3,3,1,3,1,3,2,1,3,2,1,2,1,2,1,1,1,1,2,1,2,2,1,-1.6827,-1.0185,-3.0191,595.45,0.7637,0,0
USA,35,1113,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,316.15,-1.2988,0,0
USA,35,1118,2,4,4,1,3,1,4,1,1,3,4,2,2,3,2,2,3,3,2,3,2,4,3,2,-0.0411,0.0385,0.1036,504.86,1.2357,0,0
USA,35,1116,1,3,3,1,3,1,3,2,1,2,2,1,3,3,2,1,3,1,1,3,1,3,2,4,0.4861,-1.0185,-1.3817,627.36,0.9973,0,0
USA,35,1126,1,3,3,2,3,1,4,2,2,4,3,3,3,3,4,1,3,2,2,3,2,3,3,2,-0.0411,0.6034,-0.2055,601.3,1.4204,0,0
USA,35,1117,2,2,2,2,3,1,3,2,1,4,1,3,3,3,4,1,4,1,4,4,4,4,4,4,1.6056,2.7571,-0.5436,577.41,0.8119,0,0
USA,35,1127,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,1,2,2,2,3,2,3,3,2,-0.2945,0.0385,-0.5436,488.99,1.0245,0,0
USA,35,1114,2,2,3,1,2,2,3,1,1,4,2,1,4,3,4,1,3,2,2,4,2,4,2,3,1.1341,0.3277,-0.9276,635.7,1.4204,0,0
USA,36,1144,2,2,2,2,3,2,3,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,-0.8077,-0.2743,-0.5436,311.62,-0.1434,1,0
USA,36,1139,1,4,3,1,3,1,4,1,1,3,4,2,3,3,2,2,3,4,2,,2,4,2,4,0.8485,-0.2743,0.395,566.15,0.4979,1,0
USA,36,1130,2,3,3,2,3,1,4,1,2,4,4,1,3,2,3,2,4,2,2,4,3,4,3,3,1.1341,0.6034,-0.9276,618.66,0.4373,1,1
USA,36,1133,2,2,2,1,1,2,3,2,2,2,2,3,4,4,4,2,3,3,2,4,2,4,2,4,1.6056,0.3277,0.6832,533.82,0.4043,1,0
USA,36,1141,2,1,2,2,3,1,3,2,2,4,2,1,3,4,4,1,4,3,2,4,2,4,2,4,1.6056,0.3277,-0.2055,517.69,-0.533,1,0
USA,36,1146,1,1,1,2,1,1,1,2,2,1,2,3,2,2,1,1,1,1,1,1,2,2,1,2,-1.6827,-1.5227,-0.9276,434.2,0.2429,1,0
USA,36,1131,2,2,2,2,2,2,3,2,2,3,2,4,4,4,4,2,2,4,3,4,4,4,4,4,1.1341,1.9347,1.3297,489.17,-0.3288,1,0
USA,36,1132,2,2,3,2,3,2,2,2,1,2,3,1,3,2,2,1,2,1,2,2,2,2,2,2,-0.8077,-0.2743,-1.9702,410.13,-0.0127,1,0
USA,36,1135,1,3,2,2,3,1,3,2,1,2,2,4,3,4,4,1,4,4,1,4,4,4,3,3,1.1341,0.8778,0.9843,626.13,0.5011,1,0
USA,36,1138,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,3,2,3,1,4,1,3,0.2159,-1.0185,0.1036,525.4,0.2642,1,0
USA,36,1134,2,2,2,2,1,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,0.2159,0.8778,0.395,445.88,-0.1075,1,0
USA,36,1147,2,1,1,1,3,1,4,2,1,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,-0.0411,0.8778,0.395,494.97,0.0177,1,0
USA,36,1142,1,3,2,1,3,1,2,1,1,4,3,1,3,3,1,1,3,3,1,3,1,3,1,3,0.2159,-2.4098,-0.5436,509.83,-0.7653,1,0
USA,36,1137,2,3,4,2,3,1,4,2,2,4,4,3,3,3,3,2,3,3,3,3,3,3,4,4,0.4861,1.1676,0.395,520.1,0.8499,0,0
USA,36,1148,2,2,1,2,2,2,3,2,2,2,1,2,2,3,4,3,2,2,2,2,1,2,3,3,-0.8077,0.3277,0.1036,498.13,0.6563,0,1
USA,36,1129,2,3,3,2,1,1,3,1,1,3,3,2,3,2,1,3,3,4,3,2,1,4,3,4,0.4861,-0.2743,0.395,618.54,0.7491,0,0
USA,36,1145,1,1,3,2,1,2,2,1,2,2,1,3,3,3,3,2,2,3,3,3,2,3,2,2,-0.2945,0.3277,0.395,456.36,-1.0136,0,0
USA,36,1136,1,3,3,1,3,1,2,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,-3.4531,-2.4098,-1.3817,423.4,0.9484,1,0
USA,36,1149,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,370.98,0.713,0,0
USA,36,1143,2,1,2,2,,2,3,,,,1,2,2,1,2,2,,2,2,,2,2,2,2,-1.0764,-0.2743,-0.9276,403.53,-0.1852,0,
USA,36,1140,1,3,2,2,2,1,4,2,1,3,4,3,3,3,3,1,3,1,1,1,1,4,3,1,-0.5485,-0.2743,-0.5436,477.21,0.3962,0,0
USA,37,1160,2,2,3,2,1,2,3,2,2,3,3,1,3,2,3,1,4,2,1,3,4,4,2,2,0.4861,0.3277,-1.3817,623.43,1.0812,1,0
USA,37,1157,2,2,2,1,2,2,3,2,1,2,3,3,4,3,2,1,3,3,1,2,1,4,2,4,0.7826,-1.0185,0.1036,618.58,0.3037,1,0
USA,37,1167,2,2,1,1,2,2,3,2,1,3,2,1,3,2,2,2,4,3,1,3,1,4,1,3,0.7826,-1.5227,-0.5436,671.17,1.1931,1,0
USA,37,1162,2,4,3,2,3,1,3,2,1,3,3,2,2,2,2,2,2,2,1,3,2,3,1,3,-0.2945,-1.0185,-0.5436,627.08,0.8429,1,0
USA,37,1163,2,2,3,1,2,2,3,2,2,3,3,3,3,3,1,4,2,3,1,2,1,2,1,2,-0.8077,-2.4098,0.9843,573.54,0.342,1,1
USA,37,1152,1,2,1,1,2,1,4,1,2,3,3,2,4,,2,3,3,3,1,4,2,4,3,3,1.1341,-0.2743,0.4361,687.93,1.5264,1,0
USA,37,1159,2,3,3,1,3,1,4,2,1,3,3,2,2,3,2,1,1,2,1,1,1,3,2,1,-1.6827,-1.0185,-0.5436,562.34,0.1269,1,0
USA,37,1154,2,3,3,2,3,2,3,,2,2,3,2,2,3,2,2,3,3,3,3,3,2,3,3,-0.2945,0.6034,0.1036,518.96,-1.2617,1,0
USA,37,1155,1,3,3,2,3,1,3,1,1,3,3,1,4,3,3,3,3,2,1,3,1,3,1,3,0.4861,-1.0185,-0.2055,631.61,1.1931,1,0
USA,37,1164,2,2,3,2,2,1,3,2,2,2,2,3,3,3,2,1,3,2,1,4,2,3,2,3,0.4861,-0.6208,-0.2055,602.37,0.6685,1,0
USA,37,1165,1,3,3,2,3,1,3,2,2,3,3,2,2,2,3,1,3,2,2,2,2,3,3,3,-0.2945,0.3277,-0.9276,698.42,-0.235,1,0
USA,37,1161,2,2,2,1,3,1,3,2,2,4,3,3,3,4,4,3,3,3,2,3,3,4,3,2,0.2159,0.8778,0.9843,505.78,1.1931,1,0
USA,37,1153,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,-0.0411,0.6034,0.6832,569.4,0.6499,0,0
USA,37,1169,2,2,2,1,3,2,3,2,2,2,2,3,2,3,3,2,4,4,2,2,4,3,3,4,0.2159,0.8778,0.6832,558.09,1.5825,0,0
USA,37,1168,2,3,2,2,3,1,3,2,2,3,2,3,3,3,4,2,4,4,2,3,3,3,3,3,0.4861,0.8778,0.6832,478.73,0.2693,0,0
USA,37,1158,2,1,1,2,1,1,1,2,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,0.2159,0.8778,0.395,374.67,-1.2015,0,0
USA,37,1151,2,2,2,2,1,1,2,2,1,2,1,2,3,3,2,3,3,3,1,1,2,4,2,3,-0.0411,-0.6208,0.395,534.36,0.1058,0,0
USA,37,1156,2,1,3,2,2,2,2,2,2,2,2,1,3,2,3,1,2,4,1,3,3,4,3,3,0.2159,0.3277,-0.5436,485.78,0.8499,0,0
USA,37,1166,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,1,2,2,2,3,2,2,2,1,-0.8077,-0.2743,-0.5436,485.62,0.2665,0,0
USA,37,1150,2,2,2,2,1,2,2,2,2,2,2,2,2,3,4,1,3,3,2,4,2,4,2,2,0.2159,0.3277,-0.2055,573.73,0.1359,0,0
USA,38,1184,2,4,3,2,2,2,3,2,2,1,3,1,2,1,2,1,3,4,1,2,2,3,1,2,-0.5485,-1.0185,-0.9276,441.43,-0.9079,1,0
USA,38,1174,2,2,2,2,3,2,3,2,2,2,2,1,1,1,2,1,3,1,1,2,3,1,4,2,-1.3664,0.3277,-3.0191,603.8,1.8195,1,1
USA,38,1197,2,2,3,2,2,2,3,2,2,2,2,3,4,2,3,2,3,4,1,2,3,4,3,2,0.2159,0.3277,0.395,536.36,0.6563,1,0
USA,38,1177,2,2,3,2,2,2,2,2,2,3,3,2,3,3,3,1,4,3,2,2,2,2,2,3,-0.0411,0.0385,-0.2055,430.31,0.3649,1,0
USA,38,1193,2,1,3,2,2,2,2,2,2,3,2,4,4,4,3,2,4,4,2,3,2,4,2,2,0.7826,0.0385,1.3297,519.36,1.1139,1,0
USA,38,1173,1,3,3,1,4,1,4,1,1,3,2,3,4,3,4,1,4,1,4,4,4,4,4,4,2.504,2.7571,-0.5436,699.21,0.0678,1,0
USA,38,1194,2,3,2,2,3,1,2,1,1,3,3,2,3,2,3,1,3,3,2,3,2,4,3,4,0.7826,0.3277,-0.5436,508.32,0.5629,1,0
USA,38,1195,2,2,2,1,2,2,3,2,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2.504,2.7571,1.3297,493.62,0.4218,1,0
USA,38,1170,1,4,4,1,3,1,4,2,1,2,1,2,3,4,3,2,2,3,2,2,2,3,2,3,-0.2945,0.0385,0.395,536.84,0.7177,1,0
USA,38,1178,2,2,2,1,2,2,2,2,,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,349.6,-0.5053,1,0
USA,38,1199,2,2,2,2,2,2,2,2,2,3,2,2,3,1,1,1,2,1,1,2,1,1,2,2,-1.0786,-1.5227,-1.9702,352.14,-1.0447,1,1
USA,38,1185,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,1,4,3,3,2,2,2,-0.8077,0.8778,-1.3817,448.58,-1.0731,1,0
USA,38,1190,2,3,3,2,3,2,3,2,2,3,3,2,2,2,3,2,3,2,2,2,3,2,2,2,-0.8077,0.3277,-0.5436,465.1,-0.954,0,1
USA,38,1192,1,3,3,1,3,1,2,2,2,2,2,2,4,4,4,1,2,3,2,2,2,4,3,4,0.4861,0.6034,0.1036,537.81,-1.48,0,0
USA,38,1181,2,2,1,2,1,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,-0.8077,-0.2743,-0.5436,368.42,-0.3455,0,1
USA,38,1176,2,2,,2,2,2,,,,,,,1,,3,,2,2,1,3,3,3,3,3,-0.5485,0.3277,-0.5493,496.45,0.842,0,0
USA,38,1182,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,2,3,2,1,3,4,3,3,2,-0.0411,0.6034,0.1036,440.09,-0.6109,0,0
USA,38,1201,2,2,3,2,2,2,2,2,2,2,3,3,2,2,3,1,2,2,,1,2,3,2,2,-1.0786,0.0351,-0.5436,468.95,-1.0391,0,1
USA,38,1196,2,2,2,2,1,2,2,2,1,2,2,2,3,3,3,1,2,2,3,3,1,3,2,2,-0.2945,0.0385,-0.5436,471.19,-0.0276,0,0
USA,38,1175,2,2,2,1,2,2,3,2,2,3,3,3,3,3,3,2,2,2,3,4,2,2,2,2,-0.2945,0.3277,0.1036,438.24,-0.6117,0,1
USA,38,1179,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,-2.5423,-2.4098,-1.9702,369.46,-1.0494,0,1
USA,38,1191,2,3,2,2,3,1,4,2,1,2,2,2,2,3,3,2,2,3,3,2,2,3,2,4,-0.2945,0.3277,0.1036,535.01,-2.2021,0,1
USA,38,1183,2,1,2,2,2,2,1,2,2,2,1,1,3,2,2,1,3,1,1,3,2,3,2,2,-0.0411,-0.6208,-1.9702,547.99,-0.2096,0,0
USA,38,1172,1,4,4,1,4,1,3,1,1,3,2,2,4,2,3,1,3,1,2,2,1,4,2,3,0.4861,-0.2743,-1.3817,647.16,2.1132,0,0
USA,38,1187,2,2,2,1,3,1,1,2,2,2,2,3,3,3,3,2,2,3,1,2,3,3,2,2,-0.5485,0.0385,0.395,438.48,0.2881,0,
USA,38,1186,2,1,2,1,2,2,2,2,2,3,2,2,3,3,2,1,2,2,1,2,2,3,2,3,-0.2945,-0.6208,-0.5436,462.62,-1.499,0,1
USA,38,1189,2,2,2,1,1,2,2,2,1,3,3,2,3,3,2,1,2,1,1,2,1,2,3,3,-0.5485,-0.6208,-0.9276,482.02,0.1469,0,0
USA,38,1171,2,3,3,2,1,2,2,2,2,1,2,2,3,3,2,2,3,3,1,3,1,3,1,2,-0.0411,-1.5227,0.1036,444.34,-0.8551,0,1
USA,38,1200,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,1,2,1,2,2,2,2,3,3,-0.2945,0.3277,-0.9276,476.97,-0.8037,0,0
USA,38,1180,2,1,2,2,3,1,3,2,2,4,3,2,2,2,3,3,4,2,2,3,2,3,2,3,0.2159,0.0385,-0.2055,628.32,1.5852,0,0
USA,38,1188,1,3,3,2,3,1,4,2,1,4,2,3,4,3,3,2,3,2,3,3,3,4,2,4,1.1341,0.6034,0.1036,607,1.7436,0,0
USA,38,1198,2,2,2,1,1,1,3,2,,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,487.31,-0.8599,0,1
USA,39,1222,1,4,3,1,4,1,4,1,1,2,3,2,4,3,2,2,1,1,2,4,3,4,2,3,0.4861,0.0385,-0.5436,601.66,0.2289,1,0
USA,39,1212,2,2,2,1,3,2,3,2,2,4,3,3,3,3,2,4,2,4,2,2,2,2,3,1,-1.0786,0.0385,1.3297,444.05,-0.9655,1,0
USA,39,1226,2,2,2,1,2,2,2,2,2,2,2,1,1,3,2,1,1,1,1,1,1,1,1,1,-3.4531,-1.5227,-1.3817,482.02,-1.4597,1,0
USA,39,1203,1,1,2,2,1,2,1,1,1,2,2,2,3,2,4,2,4,4,3,3,4,4,3,3,0.7826,1.4986,0.1036,522.14,0.1875,1,0
USA,39,1219,2,3,3,2,3,2,3,2,2,3,3,3,2,3,2,3,3,3,2,2,2,3,2,3,-0.2945,-0.2743,0.6832,529.61,-0.0101,1,0
USA,39,1215,1,4,4,1,3,1,3,2,1,4,4,,2,3,1,1,2,2,1,2,2,4,2,4,-0.0411,-1.0185,-0.4809,682.05,0.0146,1,0
USA,39,1202,2,3,2,2,3,2,3,2,2,2,2,3,3,3,3,2,2,3,1,2,2,2,2,2,-0.8077,-0.2743,0.395,556.3,0.9548,1,0
USA,39,1211,2,2,3,2,2,1,3,2,2,3,3,1,2,3,2,1,2,2,1,2,1,3,1,2,-0.8077,-1.5227,-0.9276,370.97,0.8956,1,0
USA,39,1223,2,1,1,2,3,2,4,2,2,2,4,3,4,4,4,3,3,4,3,3,2,3,2,4,0.7826,0.6034,1.3297,394.8,0.1889,1,0
USA,39,1232,2,2,2,2,2,2,3,2,2,2,3,3,3,3,1,1,2,2,1,2,1,3,1,2,-0.5485,-2.4098,-0.2055,425.22,0.3081,1,0
USA,39,1204,1,2,1,1,2,2,2,2,2,2,3,2,3,3,2,1,3,3,2,2,3,2,1,3,-0.2945,-0.2743,-0.2055,334.19,-0.4822,1,0
USA,39,1230,2,1,2,2,1,2,3,2,2,2,3,2,2,2,2,2,3,3,1,2,2,2,2,3,-0.5485,-0.6208,-0.2055,470.82,0.8401,1,0
USA,39,1221,2,2,2,2,3,2,3,2,2,2,2,3,2,4,2,2,2,3,1,2,1,3,1,2,-0.8077,-1.5227,0.6832,486.15,0.4796,1,0
USA,39,1217,2,2,2,2,3,2,3,2,2,2,3,2,2,3,1,2,3,2,1,2,1,3,2,2,-0.5485,-1.5227,-0.2055,493.46,-0.3008,1,0
USA,39,1206,2,3,3,2,3,1,3,2,2,3,3,4,4,4,3,2,4,3,1,4,1,4,1,3,1.6056,-1.0185,0.9843,555.82,-0.2574,1,0
USA,39,1205,1,4,4,1,4,1,4,1,1,4,4,2,4,2,4,1,3,2,2,3,3,4,2,3,0.7826,0.6034,-0.9276,597.13,0.1219,1,0
USA,39,1231,1,1,1,2,1,1,1,1,2,1,1,2,3,4,2,1,2,1,2,2,3,3,2,2,-0.5485,0.0385,-0.5436,505.75,1.4472,0,0
USA,39,1225,2,2,2,1,3,2,2,1,1,2,3,1,3,2,2,1,2,4,1,2,1,3,1,2,-0.5485,-1.5227,-0.5436,524.02,0.7394,0,0
USA,39,1213,2,2,2,2,1,2,2,1,1,2,1,2,2,3,3,1,2,1,3,2,3,2,1,2,-1.0786,0.3277,-0.9276,438.16,0.1033,0,0
USA,39,1218,2,3,3,1,3,1,3,2,1,4,4,2,4,3,3,3,4,4,2,3,2,4,3,3,1.1341,0.3277,0.6832,510.48,1.1931,0,0
USA,39,1209,2,1,2,2,1,2,2,2,1,1,1,2,1,3,3,1,2,1,1,2,3,3,3,2,-1.0786,0.3277,-0.9276,330.26,0.067,0,0
USA,39,1214,1,3,3,2,3,1,4,1,1,3,3,2,4,2,2,2,2,1,2,3,2,3,3,4,0.4861,0.0385,-0.9276,541.26,1.5264,0,0
USA,39,1224,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.0786,-0.2743,-0.5436,369.06,1.3181,0,0
USA,39,1207,1,2,1,2,1,1,3,2,1,1,1,3,3,3,3,1,2,1,1,1,3,2,1,3,-0.8077,-0.2743,-0.5436,316.79,-0.3536,0,0
USA,39,1229,2,3,2,1,3,1,2,2,1,3,2,3,4,3,3,2,2,2,1,2,1,3,2,2,-0.2945,-0.6208,0.1036,686.12,1.5264,0,0
USA,39,1227,2,3,3,2,3,2,4,2,1,3,1,2,4,3,3,2,3,2,2,3,4,3,2,3,0.4861,0.6034,-0.2055,546.39,0.8401,0,0
USA,39,1208,2,1,2,2,2,2,1,2,2,1,1,1,3,1,1,1,1,1,1,2,2,4,2,1,-0.8077,-1.0185,-3.0191,582.22,0.2177,0,0
USA,39,1220,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,1,1,2,1,2,2,3,2,1,-1.0786,-0.2743,-1.3817,448.19,0.326,0,0
USA,39,1216,2,1,1,2,1,2,2,2,2,2,1,2,3,3,2,2,2,4,1,2,2,4,2,2,-0.2945,-0.6208,0.395,514.48,1.1832,0,0
USA,39,1210,2,1,3,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,-1.3664,-1.5227,-0.9276,396.24,-0.155,0,0
USA,39,1228,2,1,2,2,2,2,1,1,2,1,1,3,1,2,1,1,2,1,2,1,1,1,1,1,-2.5423,-1.5227,-0.9276,378.28,0.6576,0,0
USA,40,1253,1,3,3,1,3,1,4,1,1,2,4,1,4,3,1,1,3,1,1,3,1,3,1,1,-0.0411,-2.4098,-1.3817,585.93,0.6582,1,0
USA,40,1243,1,3,4,1,3,1,4,2,1,3,3,2,1,1,3,1,3,1,2,3,3,4,3,2,-0.2945,0.6034,-1.9702,679.27,0.1399,1,0
USA,40,1236,2,1,2,1,2,2,2,2,2,3,2,1,3,2,1,1,3,2,1,3,1,3,1,3,0.2159,-2.4098,-1.3817,612.7,0.3955,1,0
USA,40,1233,1,3,3,2,3,2,4,2,1,3,2,2,3,2,4,1,3,2,4,3,4,3,3,4,0.4861,1.9347,-0.9276,649.56,1.1892,1,0
USA,40,1247,2,2,3,1,2,2,3,1,1,3,3,1,2,1,2,2,2,3,1,3,2,3,4,3,-0.2945,0.0385,-0.9276,568.69,0.3427,1,0
USA,40,1261,2,2,2,2,3,2,4,1,1,3,3,1,3,3,1,2,2,3,1,2,2,2,2,2,-0.8077,-1.0185,-0.2055,516.82,-0.2824,1,0
USA,40,1252,1,3,3,2,4,1,4,1,1,3,3,3,3,3,4,2,1,2,2,2,3,3,4,3,-0.5485,1.1676,0.1036,560.83,-0.0456,1,0
