scigrade6,understand,workhard,challenge,choice,makemeth,ownexp,scigrade10,ses,sciach,certsci
4,5,5,5,1,1,1,7,0.198,33.77,1
4,6,4,6,2,1,1,6,0.269,24.51,1
4,6,6,6,1,1,1,8,0.299,22.71,1
4,6,4,3,1,1,1,7,0.839,30.62,1
3,5,6,6,1,4,1,3,0.461,25.68,1
4,6,6,6,1,1,1,6,0.132,20.79,1
5,2,6,6,3,4,3,5,1.561,12.7,0
4,3,3,3,1,1,1,6,0.798,27.4,0
4,6,6,6,1,1,1,6,-0.406,30.82,0
4,6,6,6,1,1,1,6,0.733,21.58,1
4,6,6,6,4,1,1,8,-0.812,22.66,0
5,5,6,6,1,3,2,5,0.205,28.36,0
4,3,6,6,1,1,1,5,-0.167,19.54,1
5,6,6,6,1,1,1,6,-0.745,16.42,1
2,2,2,2,1,1,1,4,-0.116,13.6,1
5,6,6,6,2,2,2,7,-0.08,31.36,0
3,2,6,6,3,2,4,5,0.259,12.48,0
5,6,6,6,1,1,1,5,-0.302,20.98,0
5,6,6,5,1,1,1,7,-0.297,21.99,0
5,5,5,3,1,1,1,8,-0.46,32.68,0
3,5,6,6,1,1,1,7,-1.547,12.15,0
2,3,6,3,1,1,1,8,-0.747,22.99,0
5,5,6,5,1,1,1,7,0.342,24.27,0
3,5,5,5,1,1,1,4,-1.305,15.72,0
1,4,5,4,2,4,4,2,-0.604,11.16,0
5,3,2,5,1,1,1,6,0.438,15.46,0
4,2,3,2,1,1,1,8,-0.713,13.41,0
4,4,6,5,1,1,1,5,-0.561,20.9,0
5,6,6,3,1,5,5,8,-0.833,26.09,0
5,2,6,6,1,1,1,4,-0.75,19.75,0
3,4,3,4,1,4,3,6,-0.895,12.33,0
5,4,6,5,1,1,1,8,-1.222,28.6,0
5,2,2,4,1,1,1,8,-0.296,30.35,0
5,4,6,4,1,1,1,7,0.421,29.87,0
5,6,6,5,1,1,1,8,0.722,29.09,0
5,4,6,4,1,1,2,4,-0.291,23.53,0
3,5,6,6,2,1,1,1,-0.395,19.45,0
4,6,6,6,5,4,2,8,-1.425,24.39,0
3,5,5,6,1,1,1,4,0.205,16.7,0
5,6,6,6,1,1,1,8,0.7,32.1,0
3,3,4,6,1,1,1,2,-0.912,25.14,0
3,3,5,4,1,1,1,4,-0.763,26.12,0
3,4,6,6,1,1,1,5,0.177,26.09,0
1,6,6,2,5,4,5,1,-0.326,12.68,0
5,3,6,6,1,1,1,7,0.839,28.07,0
5,3,5,5,1,1,1,6,0.283,17.63,1
