id,schid,getalng,spirit,strict,fair,racefrnd,disrupt,tchgood,tchint,tchprais,putdown,studown,listen,feelsafe,impede,misbehav,private
4519064,45190,3,3,3,2,2,2,2,2,3,2,3,3,3,3,2,0
4522336,45223,2,3,2,2,2,3,4,2,3,3,3,3,2,3,3,0
4522459,45224,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,0
4522758,45227,2,3,3,2,2,2,1,2,2,3,3,2,3,3,2,0
4525597,45255,3,2,3,2,1,1,2,2,3,4,4,1,4,1,2,0
4526897,45268,3,2,2,2,1,2,3,3,3,2,3,3,3,3,4,0
4527199,45271,2,2,3,2,1,3,2,2,2,3,4,2,4,3,3,0
4528742,45287,3,2,2,2,3,2,1,1,1,3,3,2,3,2,3,0
4531057,45310,2,2,3,2,4,2,2,2,3,3,2,2,3,3,3,0
4533004,45330,2,3,3,2,2,3,2,2,2,3,4,2,4,3,2,0
4533821,45338,2,2,3,3,2,2,2,2,4,3,4,2,3,3,3,0
4533885,45338,2,1,3,3,2,2,4,3,3,2,3,3,3,2,1,0
4536246,45362,1,2,2,2,1,3,2,2,2,4,4,2,4,4,3,0
4542331,45423,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,0
4542391,45423,3,2,3,1,1,3,2,2,3,4,4,2,3,3,2,0
4544103,45441,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
4544203,45442,2,2,2,2,3,3,2,2,3,3,3,2,3,4,3,0
4544627,45446,2,2,2,2,2,2,2,2,2,4,3,1,3,2,3,0
4544643,45446,2,3,3,2,2,2,2,3,3,3,2,2,3,2,2,0
4547664,45476,2,3,1,4,1,2,2,2,4,2,1,1,3,2,2,0
4550661,45506,2,2,1,2,2,2,2,2,2,4,4,3,3,3,2,0
4552127,45521,2,2,2,3,2,1,2,2,3,3,3,2,4,2,1,0
4552185,45521,2,3,3,2,2,2,1,2,3,3,2,2,4,3,2,0
4552195,45521,2,2,3,2,1,2,2,2,2,4,3,2,4,4,3,0
4555980,45559,2,4,3,1,1,2,2,2,2,3,3,2,4,3,2,0
4557606,45576,1,3,1,3,1,2,4,4,3,4,4,2,3,2,1,0
4567894,45678,2,2,3,1,2,1,1,2,1,4,4,2,4,4,2,0
4568679,45686,1,3,2,2,2,2,2,1,2,4,3,2,4,2,3,0
4568911,45689,2,2,2,3,3,2,2,3,2,3,3,2,4,3,3,0
4571948,45719,3,1,2,3,1,2,3,3,3,4,4,3,3,4,3,0
4571971,45719,3,1,1,1,1,2,1,2,2,3,4,2,4,4,2,0
4574633,45746,2,2,2,3,2,2,3,2,3,3,3,3,3,3,3,0
4574669,45746,2,2,2,3,2,2,3,3,4,2,3,4,2,1,1,0
4574713,45747,4,3,2,3,1,2,4,4,4,3,2,3,3,2,1,0
4574737,45747,3,2,2,2,1,1,2,2,1,3,2,3,4,1,4,0
4578849,45788,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
4582082,45820,3,3,2,2,3,4,3,3,3,2,2,3,3,3,4,0
4583086,45830,3,2,3,2,3,1,2,2,2,3,1,3,3,1,1,0
4583110,45831,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
4583181,45831,2,2,3,2,2,2,2,2,2,3,3,2,3,2,2,0
4586173,45861,1,1,2,3,3,1,1,1,2,4,1,1,4,2,2,0
4586717,45867,2,2,3,3,2,2,3,3,3,2,3,3,3,3,2,0
4586766,45867,3,4,3,1,1,2,3,3,2,3,3,2,4,3,2,0
4587010,45870,3,2,3,2,1,1,2,2,3,3,3,2,4,1,3,0
4590040,45900,4,2,2,4,3,2,3,3,3,2,4,3,4,2,2,0
4591810,45918,2,3,2,2,2,2,1,2,2,3,3,2,3,3,2,0
4593666,45936,2,2,2,2,1,2,3,2,3,3,2,2,4,3,2,0
4593668,45936,2,2,1,2,1,2,2,1,1,2,2,2,3,3,2,0
4597893,45978,3,2,1,2,2,1,1,2,2,3,2,2,3,1,4,0
4599105,45991,2,2,3,2,2,2,3,3,3,3,2,2,3,2,2,0
4599470,45994,2,3,2,3,1,2,4,4,4,2,4,3,4,4,2,0
4599496,45994,1,1,2,2,1,3,1,2,1,4,4,1,4,4,3,0
4665583,46655,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
4674886,46748,2,1,2,3,2,3,1,2,1,4,3,1,4,2,3,0
4689158,46891,2,2,2,2,1,3,2,2,3,3,4,2,4,1,3,0
4692213,46922,1,1,2,3,1,2,2,1,2,8,3,2,4,3,2,0
5400267,54002,3,2,2,2,2,2,3,3,3,3,2,2,4,2,3,0
6237789,62377,3,2,2,2,2,2,2,3,2,4,4,2,4,3,2,0
6803811,68038,2,2,2,2,1,2,2,2,2,3,2,2,3,2,2,0
6803815,68038,3,2,3,3,1,2,2,2,3,3,2,3,3,3,3,0
6804841,68048,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
6806871,68068,2,2,3,2,2,2,1,2,2,3,3,2,3,2,3,0
6806879,68068,3,2,2,3,2,1,2,2,3,2,3,2,2,2,4,0
6813701,68137,2,4,2,2,2,3,3,2,4,1,4,3,3,2,3,0
6818016,68180,4,1,3,1,4,4,3,2,2,3,2,3,3,2,1,0
6818527,68185,2,3,1,3,2,2,2,3,3,3,3,3,3,1,1,0
6825443,68254,3,4,2,3,2,1,2,1,3,3,3,2,2,2,1,0
6826236,68262,2,2,2,2,1,2,2,2,3,3,3,2,3,3,2,0
6828179,68281,3,2,2,2,1,2,2,2,2,4,4,8,4,2,2,0
6833343,68333,2,3,2,2,2,2,2,2,2,3,3,2,4,3,2,0
6835232,68352,2,3,2,3,1,2,2,2,3,4,3,2,4,2,1,0
6835280,68352,2,2,3,2,1,2,2,2,2,3,3,2,3,2,2,0
6837227,68372,2,1,2,2,2,2,2,2,2,3,3,1,3,2,3,0
6837278,68372,2,2,2,2,1,2,2,2,2,4,4,2,4,4,3,0
6837439,68374,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,0
6838107,68381,2,2,2,2,1,1,3,3,3,3,3,2,3,3,2,0
6838132,68381,2,3,3,2,1,1,2,2,1,4,4,2,4,1,2,0
6840105,68401,2,1,2,2,2,2,2,2,2,3,3,2,3,3,3,0
6840117,68401,2,2,2,1,1,2,2,2,2,4,4,2,4,4,4,0
6840164,68401,2,2,4,2,1,2,2,2,2,3,3,2,4,2,1,0
6840189,68401,3,3,2,2,2,1,2,2,2,2,1,3,2,2,1,0
6842265,68422,2,2,2,2,3,2,2,2,3,3,3,2,3,3,2,0
6842271,68422,2,3,3,2,1,1,2,2,2,3,2,1,3,1,2,0
6844175,68441,4,3,3,3,2,2,4,4,4,1,3,4,1,1,1,0
6844512,68445,3,2,1,2,3,1,2,2,2,4,4,2,2,3,3,0
6844559,68445,2,4,3,2,2,3,3,3,2,3,3,2,4,3,3,0
6844569,68445,2,3,2,3,3,3,2,2,2,4,4,2,4,3,2,0
6844836,68448,3,3,2,2,2,2,3,3,3,2,3,3,3,2,2,0
6844994,68449,2,1,2,2,3,2,2,2,3,4,3,2,4,2,4,0
6845318,68453,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,0
6848160,68481,2,2,3,2,1,1,2,2,2,4,3,2,3,2,2,0
6849314,68493,2,2,1,3,2,2,3,3,2,4,2,2,4,3,4,0
6849439,68494,3,4,3,2,2,1,1,2,2,2,3,2,4,1,1,0
6849493,68494,3,3,3,4,2,2,3,2,3,3,2,2,3,4,3,0
6857461,68574,2,2,3,1,2,1,1,2,2,4,2,2,4,2,2,0
6861407,68614,2,1,1,3,1,2,1,2,2,4,4,2,3,1,4,0
6861456,68614,3,3,3,4,2,2,2,2,2,3,1,2,3,4,2,0
6861745,68617,2,2,3,2,2,2,3,3,3,2,2,2,3,1,2,0
6864190,68641,4,2,2,4,2,8,3,4,4,1,1,4,4,2,1,0
6864866,68648,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
6866295,68662,2,3,3,4,1,2,3,3,3,3,3,2,2,2,2,0
6868018,68680,2,2,1,2,2,3,2,1,1,4,3,2,4,3,3,0
6869605,68696,2,3,2,2,2,3,1,2,3,3,3,2,3,3,2,0
6874043,68740,2,2,3,2,2,2,2,2,2,3,3,2,1,3,3,0
6875935,68759,2,3,3,2,2,2,1,2,3,4,4,2,3,1,2,0
